0	-0.004838	-0.0171461559743031	-0.292570680788825	0.620146697159132	-0.327380100411682	0.019270315805969	0.000540289681895742	-0.0322449005567244	-0.288522915205805	0.611844431602509	-0.311886645413039	0.0141261163336341	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-509.937509490741	-515.062490509259
0.0005	-0.00483989	-0.0169539545795557	-0.292591319094721	0.620174858350319	-0.327407984696653	0.0191697308860294	0.000548463974518133	-0.032044848848194	-0.288590102970117	0.611966327920886	-0.311612759850028	0.0138589681810377	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-507.375075925926	-517.624924074074
0.001	-0.00484193	-0.0167614375153093	-0.292609615604179	0.620198189314208	-0.327433481541681	0.0190640189062382	0.000556668720046534	-0.0318444629696428	-0.2886571863798	0.612087894076587	-0.311338123574536	0.0135942748681633	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-504.81275625	-520.18724375
0.0015	-0.00484412	-0.016568600975126	-0.292625558218889	0.620216670694857	-0.327456563608453	0.0189531863212005	0.000564898847382792	-0.0316437434379331	-0.288724180234094	0.612209164597295	-0.311062990881368	0.0133320486609776	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-502.250607407407	-522.749392592593
0.002	-0.00484646	-0.0163754411707826	-0.292639135965635	0.620230285387469	-0.327477204851229	0.0188372416350757	0.000573149235613396	-0.0314426907774655	-0.288791099560004	0.612330174454786	-0.310787618236457	0.0130723000952168	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-499.688686342593	-525.311313657407
0.0025	-0.00484894	-0.0161819543344789	-0.292650339011261	0.620239018567786	-0.327495380562214	0.0187161953891844	0.000581414719083945	-0.0312413055189626	-0.288857959572611	0.61245095898439	-0.310512263936958	0.0128150379785054	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-497.12705	-527.87295
0.003	-0.00485157	-0.0159881367211233	-0.292659158676743	0.620242857719917	-0.327511067415831	0.0185900601488718	0.000589690092466419	-0.0310395881982716	-0.288924775635856	0.612571553805243	-0.310237187768895	0.0125602693941777	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-494.565755324074	-530.434244675926
0.0035	-0.00485436	-0.0157939846107587	-0.292665587450243	0.620241792662552	-0.327524243511872	0.0184588504897763	0.000597970115803795	-0.0308375393551446	-0.288991563223854	0.612691994741417	-0.309962650662745	0.0123079997067805	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-492.004859259259	-532.995140740741
0.004	-0.00485729	-0.0155994943112163	-0.292669618999024	0.620235815573518	-0.327534888417508	0.0183225829836677	0.000606249519515284	-0.0306351595319433	-0.289058337882854	0.612812317744004	-0.3096889143474	0.0120582325692227	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-489.44441875	-535.55558125
0.0045	-0.00486037	-0.0154046621611065	-0.292671248180065	0.620224921012634	-0.327542983208164	0.0181812761840101	0.000614523009345355	-0.0304324492722071	-0.289125115193907	0.612932558814242	-0.30941624100291	0.0118109699315257	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-486.884490740741	-538.115509259259
0.005	-0.00486361	-0.0152094845332503	-0.292670471049286	0.620209105942825	-0.327548510507225	0.0180349506113847	0.000622785271240644	-0.0302294091190255	-0.289191910736341	0.613052753927757	-0.309144892912449	0.0115662120511313	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-484.325132175926	-540.674867824074
0.0055	-0.00486699	-0.0150139578386521	-0.292667284869259	0.62018836974943	-0.327551454524562	0.0178836287388792	0.000631030976140855	-0.0300260396131606	-0.289258740052111	0.613172938960006	-0.308875132113969	0.0113239575047268	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-481.7664	-543.2336
0.006	-0.00487053	-0.0148180785310843	-0.292661688115353	0.620162714257677	-0.327551801093797	0.0177273349775047	0.000639254784672721	-0.0298223412908818	-0.289325618611084	0.613293149613006	-0.308607220052041	0.0110842032015612	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-479.208351157407	-545.791648842593
0.0065	-0.00487422	-0.0146218431123281	-0.292653680480282	0.620132143748255	-0.327549537708204	0.0175660956616549	0.000647451351739704	-0.0296183146814917	-0.289392561777304	0.613413421343441	-0.308341417230423	0.0108469443982377	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-476.651042592593	-548.348957407407
